COORD_X,COORD_Y,TRAM,Rang,LATITUDE,LONGITUDE
431415.846,4581454.277,T00387G,30-40 µg/m³,41.381690449674075,2.1797611588145664
431431.267,4581427.529,T00388H,30-40 µg/m³,41.381450852437744,2.1799485962773364
431413.788,4581396.292,T00389I,30-40 µg/m³,41.38116801984014,2.17974311124505
431450.037,4581381.189,T00390B,30-40 µg/m³,41.381035080615625,2.1801782970739083
431415.23,4581374.332,T00391C,30-40 µg/m³,41.3809703552755,2.179762840530789
431820.536,4581604.885,T00401N,30-40 µg/m³,41.3830813300648,2.184583670611855
431845.917,4581642.762,T00402O,30-40 µg/m³,41.38342462827014,2.1848829337684785
431861.036,4581665.934,T00403P,30-40 µg/m³,41.38363461273868,2.1850611323488582
431854.271,4581581.066,T00404Q,30-40 µg/m³,41.38286965704913,2.1849897758408603
431878.163,4581618.233,T00405R,30-40 µg/m³,41.38320643336876,2.1852713134914374
431856.529,4581622.278,T00406S,30-40 µg/m³,41.383241033447575,2.1850121437481236
431844.129,4581697.654,T00407T,30-40 µg/m³,41.38391887386562,2.1848553770074406
431887.139,4581669.523,T00408U,30-40 µg/m³,41.38366914827706,2.185372889291991
431824.842,4581668.871,T00409V,30-40 µg/m³,41.38365799917339,2.1846279653618494
431757.29,4581619.602,T00413R,30-40 µg/m³,41.3832085197271,2.1838256738804906
431772.741,4581645.337,T00414S,30-40 µg/m³,41.383441618188186,2.1840075501625256
431789.246,4581672.076,T00415T,30-40 µg/m³,41.38368384847796,2.1842019192823448
431717.497,4581719.258,T00416U,30-40 µg/m³,41.38410271704588,2.1833385703287878
431736.031,4581760.04,T00419X,30-40 µg/m³,41.384471601965174,2.1835556213366645
431744.764,4581777.494,T00420Q,30-40 µg/m³,41.38462954622993,2.1836580925225997
431753.912,4581729.662,T00421R,30-40 µg/m³,41.38419951290212,2.1837728808842622
431760.24,4581742.645,T00422S,30-40 µg/m³,41.384316983938334,2.1838470945299515
431768.015,4581758.654,T00423T,30-40 µg/m³,41.38446183198968,2.1839382722489984
431743.007,4581680.406,T00424U,30-40 µg/m³,41.38375495272963,2.1836480180112567
431764.933,4581667.144,T00425V,30-40 µg/m³,41.383637365567274,2.18391172042067
431728.558,4581689.11,T00426W,30-40 µg/m³,41.38383212119142,2.1834742444236777
431613.833,4581656.584,T00427X,30-40 µg/m³,41.38352942478869,2.1821059396440603
431628.343,4581682.39,T00428Y,30-40 µg/m³,41.38376308541284,2.182276549365384
431627.715,4581633.094,T00429Z,30-40 µg/m³,41.383319036875484,2.1822746018472237
431658.562,4581614.751,T00430S,30-40 µg/m³,41.38315644757611,2.1826455616033713
431658.924,4581662.15,T00431T,30-40 µg/m³,41.38358338780152,2.1826445445855347
431679.294,4581650.428,T00432U,30-40 µg/m³,41.38347954115701,2.1828894665998804
431657.705,4581639.137,T00433V,30-40 µg/m³,41.38337601262977,2.182632562501533
431672.302,4581667.819,T00434W,30-40 µg/m³,41.38363558320563,2.182803889822119
431635.552,4581664.368,T00435X,30-40 µg/m³,41.38360137897382,2.1823647938197723
431647.277,4581682.886,T00436Y,30-40 µg/m³,41.383769161644715,2.182502921499171
431690.531,4581671.975,T00438A,30-40 µg/m³,41.38367456312957,2.183021418012574
431638.616,4581701.123,T00439B,30-40 µg/m³,41.38393268124996,2.182397288659287
431821.501,4581719.728,T00440U,30-40 µg/m³,41.38411577093486,2.184582288429919
431835.38,4581740.599,T00441V,30-40 µg/m³,41.384304926320006,2.184745917696127
431887.348,4581819.134,T00442W,30-40 µg/m³,41.385016670895524,2.185358569838101
431713.748,4581818.045,T00443X,30-40 µg/m³,41.38499214554824,2.183282602740584
431740.212,4581795.758,T00444Y,30-40 µg/m³,41.38479365872528,2.1836015976257466
431761.103,4581777.792,T00445Z,30-40 µg/m³,41.38463361632839,2.1838534565982584
431798.813,4581746.226,T00446A,30-40 µg/m³,41.38435250798236,2.184307982690961
431702.659,4581796.366,T00447B,30-40 µg/m³,41.38479594756589,2.1831524327540768
431729.327,4581773.96,T00448C,30-40 µg/m³,41.384596406604395,2.18347388009834
431751.676,4581758.356,T00449D,30-40 µg/m³,41.38445776203979,2.1837429086797755
431790.704,4581732.156,T00450W,30-40 µg/m³,41.38422509592932,2.1842125917395787
431763.597,4581805.771,T00452Y,30-40 µg/m³,41.38488582688215,2.18388013117604
431808.276,4581849.442,T00453Z,30-40 µg/m³,41.385282947844914,2.184409532979545
431812.38,4581788.906,T00454A,30-40 µg/m³,41.384738064883855,2.1844654261027516
431755.759,4581844.972,T00455B,30-40 µg/m³,41.38523823440454,2.183781980849331
431714.585,4581850.518,T00456C,30-40 µg/m³,41.3852846917387,2.1832889525264365
431673.526,4581683.783,T00457D,30-40 µg/m³,41.38377947042015,2.1828167271738597
431678.137,4581693.158,T00458E,30-40 µg/m³,41.38386430000694,2.182870812141297
431685.052,4581707.03,T00459F,30-40 µg/m³,41.383989828432256,2.1829519433939044
431691.946,4581721.791,T00460Y,30-40 µg/m³,41.38412336199038,2.183032723594835
431700.431,4581740.518,T00461Z,30-40 µg/m³,41.38429275121194,2.1831320836666572
431708.862,4581758.482,T00462A,30-40 µg/m³,41.38445526363722,2.1832308844653405
431715.653,4581773.194,T00463B,30-40 µg/m³,41.38458834692749,2.1833104395500764
431724.775,4581792.225,T00464C,30-40 µg/m³,41.384760528012954,2.1834173846570732
